
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

	<CurrencyName> #tm_ruble												// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
		<Currency> MoneyRuble1, 	1										// Currency Classname, Currency Money Value
		<Currency> MoneyRuble5, 	5
		<Currency> MoneyRuble10, 	10
		<Currency> MoneyRuble25, 	25
		<Currency> MoneyRuble50, 	50
		<Currency> MoneyRuble100, 	100


<Trader> Consume Trader														// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables													// Category Name
		CaninaBerry,								*,		1,			-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,								*,		1,			-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,										*,		10,			-1	// Buyvalue -1 means it can not be bought
		Kiwi,										*,		10,			-1	// Sellvalue -1 means it can not be selled					  
		UKAssVest_Olive,							*,		900,		300
		UKAssVest_Camo,								*,		1000,		350
		SmershVest,									*,		1500,		225
		HighCapacityVest_Black,						*,		1500,		225
		HighCapacityVest_Olive,						*,		1500,		225
		PlateCarrierVest,							*,		2500,		200
		PlateCarrierVest_Black,						*,		2500,		200
		PlateCarrierVest_Camo,						*,		2500,		200
		PlateCarrierVest_Green,						*,		2500,		200

	<Category> Jackets & Coats
		LabCoat,									*,		100,		20
		TrackSuitJacket_Red,						*,		150,		30
		TrackSuitJacket_LightBlue,					*,		150,		30
		TrackSuitJacket_Blue,						*,		150,		30
		TrackSuitJacket_Black,						*,		150,		30
		TrackSuitJacket_Green,						*,		150,		30
		DenimJacket,								*,		180,		40
		ManSuit_Blue,								*,		180,		40
		ManSuit_White,								*,		180,		40
		ManSuit_LightGrey,							*,		180,		40
		ManSuit_DarkGrey,							*,		180,		40
		ManSuit_Beige,								*,		180,		40
		ManSuit_Brown,								*,		180,		40
		ManSuit_Black,								*,		180,		40
		ManSuit_Khaki,								*,		180,		40
		WomanSuit_Blue,								*,		180,		40
		WomanSuit_White,							*,		180,		40
		WomanSuit_LightGrey,						*,		180,		40
		WomanSuit_DarkGrey,							*,		180,		40
		WomanSuit_Beige,							*,		180,		40
		WomanSuit_Brown,							*,		180,		40
		WomanSuit_Black,							*,		180,		40
		WomanSuit_Khaki,							*,		180,		40
		WoolCoat_Red,								*,		180,		40
		WoolCoat_RedCheck,							*,		180,		40
		WoolCoat_Blue,								*,		180,		40
		WoolCoat_BlueCheck,							*,		180,		40
		WoolCoat_GreyCheck,							*,		180,		40
		WoolCoat_BrownCheck,						*,		180,		40
		WoolCoat_Beige,								*,		180,		40
		WoolCoat_Black,								*,		190,		40
		WoolCoat_BlackCheck,						*,		190,		40
		WoolCoat_Green,								*,		200,		50
		RidersJacket_Black,							*,		200,		50
		FirefighterJacket_Beige,					*,		240,		60
		FirefighterJacket_Black,					*,		240,		60
		JumpsuitJacket_Red,							*,		260,		60
		JumpsuitJacket_Blue,						*,		260,		60
		JumpsuitJacket_Gray,						*,		260,		60
		JumpsuitJacket_Green,						*,		260,		60
		BomberJacket_Maroon,						*,		260,		60
		BomberJacket_SkyBlue,						*,		260,		60
		BomberJacket_Blue,							*,		260,		60
		BomberJacket_Grey,							*,		260,		60
		BomberJacket_Brown,							*,		260,		60
		BomberJacket_Black,							*,		280,		70
		BomberJacket_Olive,							*,		300,		70
		QuiltedJacket_Orange,						*,		260,		60
		QuiltedJacket_Yellow,						*,		260,		60
		QuiltedJacket_Red,							*,		260,		60
		QuiltedJacket_Violet,						*,		260,		60
		QuiltedJacket_Blue,							*,		260,		60
		QuiltedJacket_Grey,							*,		260,		60
		QuiltedJacket_Black,						*,		280,		70
		QuiltedJacket_Green,						*,		300,		70
		PrisonUniformJacket,						*,		280,		70
		PoliceJacketOrel,							*,		320,		80
		PoliceJacket,								*,		340,		80
		ParamedicJacket_Crimson,					*,		360,		90
		ParamedicJacket_Blue,						*,		360,		90
		ParamedicJacket_Green,						*,		360,		90
		HikingJacket_Red,							*,		360,		90
		HikingJacket_Blue,							*,		380,		90
		HikingJacket_Black,							*,		380,		90
		HikingJacket_Green,							*,		400,		100
		Raincoat_Pink,								*,		700,		150
		Raincoat_Orange,							*,		700,		150
		Raincoat_Yellow,							*,		700,		150
		Raincoat_Red,								*,		700,		150
		Raincoat_Blue,								*,		700,		150
		Raincoat_Black,								*,		800,		200
		Raincoat_Green,								*,		1000,	250
		TTsKOJacket_Camo,							*,		1000,	250
		BDUJacket,									*,		1000,	250
		HuntingJacket_Winter,						*,		1200,	350
		HuntingJacket_Brown,						*,		1200,	350
		HuntingJacket_Autumn,						*,		1200,	350
		HuntingJacket_Spring,						*,		1200,	350
		HuntingJacket_Summer,						*,		1200,	350
		M65Jacket_Tan,								*,		1300,	400
		M65Jacket_Black,							*,		1300,	400
		M65Jacket_Khaki,							*,		1300,	400
		M65Jacket_Olive,							*,		1300,	400
		GorkaEJacket_Autumn,						*,		1400,	450
		GorkaEJacket_Flat,							*,		1400,	450
		GorkaEJacket_PautRev,						*,		1400,	450
		GorkaEJacket_Summer,						*,		1400,	450
		USMCJacket_Desert,							*,		1400,	450
		USMCJacket_Woodland,						*,		1450,	550
		NBCJacketGray,								*,		2500,	800
		NBCJacketYellow,							*,		2500,	800

	<Category> Skirts & Dresses
		Skirt_Yellow,								*,		300,		100
		Skirt_Red,									*,		300,		100
		Skirt_Blue,									*,		300,		100
		Skirt_White,								*,		300,		100
		MiniDress_Pink,								*,		350,		100
		MiniDress_PinkChecker,						*,		350,		100
		MiniDress_RedChecker,						*,		350,		100
		MiniDress_BlueChecker,						*,		350,		100
		MiniDress_BlueWithDots,						*,		350,		100
		MiniDress_WhiteChecker,						*,		350,		100
		MiniDress_BrownChecker,						*,		350,		100
		MiniDress_GreenChecker,						*,		350,		100
		NurseDress_Blue,							*,		400,		100
		NurseDress_White,							*,		400,		100

	<Category> Pants
		MedicalScrubsPants_Blue,					*,		100,		20
		MedicalScrubsPants_White,					*,		100,		20
		MedicalScrubsPants_Green,					*,		100,		20
		TrackSuitPants_Red,							*,		150,		30
		TrackSuitPants_LightBlue,					*,		150,		30
		TrackSuitPants_Blue,						*,		150,		30
		TrackSuitPants_Black,						*,		150,		30
		TrackSuitPants_Green,						*,		150,		30
		PrisonUniformPants,							*,		170,		40
		Breeches_Pink,								*,		200,		50
		Breeches_Red,								*,		200,		50
		Breeches_Blue,								*,		200,		50
		Breeches_White,								*,		200,		50
		Breeches_Beetcheck,							*,		200,		50
		Breeches_Beige,								*,		210,		50
		Breeches_Browncheck,						*,		210,		50
		Breeches_Black,								*,		220,		50
		Breeches_Blackcheck,						*,		220,		50
		Breeches_Green,								*,		240,		60
		SlacksPants_Blue,							*,		200,		50
		SlacksPants_White,							*,		200,		50
		SlacksPants_LightGrey,						*,		200,		50
		SlacksPants_DarkGrey,						*,		200,		50
		SlacksPants_Beige,							*,		200,		50
		SlacksPants_Brown,							*,		210,		50
		SlacksPants_Black,							*,		220,		50
		SlacksPants_Khaki,							*,		240,		60
		CanvasPantsMidi_Red,						*,		240,		60
		CanvasPantsMidi_Violet,						*,		240,		60
		CanvasPantsMidi_Blue,						*,		240,		60
		CanvasPantsMidi_Grey,						*,		240,		60
		CanvasPantsMidi_Beige,						*,		250,		60	
		CanvasPants_Red,							*,		260,		60
		CanvasPants_Violet,							*,		260,		60
		CanvasPants_Blue,							*,		260,		60
		CanvasPants_Grey,							*,		260,		60
		CanvasPants_Beige,							*,		280,		60
		JumpsuitPants_Red,							*,		280,		60
		JumpsuitPants_Blue,							*,		280,		60
		JumpsuitPants_Grey,							*,		280,		60
		JumpsuitPants_Green,						*,		280,		60
		PolicePants,								*,		280,		60
		ParamedicPants_Crimson,						*,		350,		80
		ParamedicPants_Blue,						*,		350,		80
		ParamedicPants_Green,						*,		350,		80
		FirefightersPants_Beige,					*,		350,		80
		FirefightersPants_Black,					*,		350,		80
		CargoPants_Blue,							*,		350,		80
		CargoPants_Grey,							*,		350,		80
		CargoPants_Beige,							*,		350,		80
		CargoPants_Black,							*,		350,		80
		CargoPants_Green,							*,		350,		80
		ShortJeans_Red,								*,		380,		80
		ShortJeans_Blue,							*,		380,		80
		ShortJeans_Darkblue,						*,		380,		80
		ShortJeans_Brown,							*,		380,		80
		ShortJeans_Black,							*,		400,		100
		ShortJeans_Green,							*,		420,		100
		Jeans_Blue,									*,		400,		100
		Jeans_BlueDark,								*,		400,		100
		Jeans_Grey,									*,		400,		100
		Jeans_Brown,								*,		400,		100
		Jeans_Black,								*,		420,		100
		Jeans_Green,								*,		450,		120
		TTSKOPants,									*,		550,		150
		BDUPants,									*,		650,		180
		USMCPants_Desert,							*,		650,		180
		USMCPants_Woodland,							*,		700,		200
		PolicePantsOrel,							*,		700,		200
		HunterPants_Winter,							*,		900,		250
		HunterPants_Brown,							*,		1000,	300
		HunterPants_Spring,							*,		1000,	300
		HunterPants_Autumn,							*,		1000,	300
		HunterPants_Summer,							*,		1000,	300
		GorkaPants_Flat,							*,		1300,	400
		GorkaPants_PautRev,							*,		1300,	400
		GorkaPants_Autumn,							*,		1300,	400
		GorkaPants_Summer,							*,		1300,	400
		NBCPantsGray,								*,		2000,	650
		NBCPantsYellow,								*,		2000,	650
	
	<Category> Shoes & Boots
		AthleticShoes_Blue,							*,		170,		40
		AthleticShoes_Grey,							*,		200,		50
		AthleticShoes_Brown,						*,		200,		50
		AthleticShoes_Black,						*,		230,		50
		AthleticShoes_Green,						*,		230,		50
		JoggingShoes_Violet,						*,		300,		70
		JoggingShoes_Red,							*,		300,		70
		JoggingShoes_Blue,							*,		300,		70
		JoggingShoes_White,							*,		300,		70
		JoggingShoes_Black,							*,		300,		70
		Sneakers_Red,								*,		300,		70
		Sneakers_White,								*,		300,		70
		Sneakers_Gray,								*,		300,		70
		Sneakers_Black,								*,		310,		70
		Sneakers_Green,								*,		320,		70
		DressShoes_White,							*,		320,		70
		DressShoes_Brown,							*,		350,		80
		DressShoes_Black,							*,		350,		80
		DressShoes_Beige,							*,		350,		80
		DressShoes_Sunburst,						*,		350,		80
		HikingBootsLow_Blue,						*,		450,		120
		HikingBootsLow_Grey,						*,		450,		120
		HikingBootsLow_Beige,						*,		480,		130
		HikingBootsLow_Black,						*,		500,		140
		WorkingBoots_Yellow,						*,		550,		120
		WorkingBoots_Grey,							*,		600,		150
		WorkingBoots_Beige,							*,		600,		150
		WorkingBoots_Brown,							*,		600,		150
		WorkingBoots_Green,							*,		650,		170
		HikingBoots_Brown,							*,		750,		200
		HikingBoots_Black,							*,		750,		200
		CombatBoots_Grey,							*,		800,		220
		CombatBoots_Beige,							*,		800,		220
		CombatBoots_Brown,							*,		800,		220
		CombatBoots_Black,							*,		800,		220
		CombatBoots_Green,							*,		800,		220
		JungleBoots_Beige,							*,		850,		240
		JungleBoots_Brown,							*,		850,		240
		JungleBoots_Black,							*,		850,		240
		JungleBoots_Olive,							*,		850,		240
		JungleBoots_Green,							*,		850,		240
		Wellies_Grey,								*,		850,		250
		Wellies_Brown,								*,		850,		250
		Wellies_Black,								*,		850,		250
		Wellies_Green,								*,		900,		280
		TTSKOBoots,									*,		1000,		350
		MilitaryBoots_Bluerock,						*,		1050,		350
		MilitaryBoots_Beige,						*,		1100,		350
		MilitaryBoots_Brown,						*,		1100,		350
		MilitaryBoots_Black,						*,		1100,		350
		NBCBootsGray,								*,		1500,		500
		NBCBootsYellow,								*,		1500,		500

	<Category> Rocker Items
		Chopper_BeanieHat_Black_IronMaiden,					*,		500,		150
		Chopper_BeanieHat_Black_Slayer,						*,		500,		150
		Chopper_RidersJacket_Slayer_HellAwaits,				*,		800,		500
		Chopper_DenimJacket_Battle,							*,		700,		400
		Chopper_Hoodie_Black_LedZeppelin,					*,		600,		300
		Chopper_Hoodie_Black_Misfits,						*,		600,		300
		Chopper_Hoodie_Black_Slipknot,						*,		600,		300
		Chopper_Hoodie_Black_Tool,							*,		600,		300
		Chopper_TShirt_White_OperationIvy,					*,		300,		100
		Chopper_TShirt_Black_Nirvana,						*,		300,		100
		Chopper_TShirt_Black_CannibalCorpse_Butchered,		*,		300,		100
		Chopper_TShirt_Black_IronMaiden_Killers,			*,		300,		100
		Chopper_TShirt_Black_Metallica_KillEmAll,			*,		300,		100
		Chopper_TShirt_Black_Pantera_Vulgar,				*,		300,		100
		Chopper_TShirt_Black_PinkFloyd_DarkSide,			*,		300,		100
		Chopper_TShirt_Black_Sepultura_Arise,				*,		300,		100
		Chopper_TShirt_Black_BlackSabbath,					*,		300,		100
		Chopper_TShirt_Black_Death,							*,		300,		100
		Chopper_TShirt_Black_SpiceGirls,					*,		300,		100
		Chopper_MiniDress_Black,							*,		1200,		600
		Chopper_MiniDress_White,							*,		1200,		600
		Chopper_MiniDress_Red,								*,		1200,		600
		Chopper_MiniDress_Silver,							*,		1200,		600
		Chopper_MiniDress_Black_GnR,						*,		1200,		600
		Chopper_MiniDress_Black_Megadeth,					*,		1200,		600
		Chopper_MiniDress_White_Motorhead,					*,		1200,		600
		Chopper_Skirt_Black,								*,		500,		150
		Chopper_ShortJeans_Black,							*,		500,		150
		Chopper_ShortJeans_Gold,							*,		500,		150
		Chopper_ShortJeans_Silver,							*,		500,		150
		Chopper_HuntingBag_Invisible,						*,		2000,		420 	// Remove if required
		Chopper_ConcealBag_Invisible,						*,		4000,		800 	// Remove if required
		Chopper_Hoodie_Black_ACDC,							*,		600,		300
		Chopper_Hoodie_Red_BeastieBoys,						*,		600,		300
		Chopper_TShirt_Black_DawnOfTheDead,					*,		300,		100
		Chopper_TShirt_Black_JurassicPark,					*,		300,		100
		Chopper_TShirt_Black_NWA,							*,		300,		100
		Chopper_TShirt_White_ImWithStupid,					*,		300,		100
		Chopper_TShirt_Prepper,								*,		300,		100
		Chopper_TShirt_Black_PhilCollins,					*,		300,		100
		Chopper_TShirt_White_BarryManilow,					*,		300,		100
		Chopper_Skirt_Pink,									*,		500,		150
		Chopper_NurseDress_White,							*,		1200,		600
		Chopper_NurseBoots_White,							*,		700,		400
		Chopper_LongGloves_White,							*,		400,		200

	<Category> MSP Clothes
		Msp_BoxingShorts_Red,							*,		700,		400
		Msp_BoxingShorts_Blue,							*,		700,		400
		Msp_BoxingGloves_Black,							*,		700,		400
		Msp_BoxingGloves_Red,							*,		700,		400
		Msp_BoxingGloves_Blue,							*,		700,		400
		Msp_BoxingGloves_Gold,							*,		700,		400
		Msp_M_BoxingGloves_Black,							*,		700,		400
		Msp_M_BoxingGloves_Red,							*,		700,		400
		Msp_M_BoxingGloves_Blue,							*,		700,		400
		Msp_M_BoxingGloves_Gold,							*,		700,		400
		Msp_BoxingHelmet_Red,							*,		700,		400
		Msp_BoxingHelmet_Blue,							*,		700,		400
		Msp_BunnyEarsHeadband,							*,		700,		400
		Msp_MedicBag_Red,							*,		700,		400
		Msp_MedicBag_Green,							*,		700,		400 
		Msp_MedicBag_Blue,							*,		700,		400 
		Msp_MedicBag_Black,							*,		700,		400
		Msp_Slouchie_Beige,							*,		700,		400
		Msp_Slouchie_Black,							*,		700,		400
		Msp_Slouchie_Blue,							*,		700,		400
		Msp_Slouchie_Red,							*,		700,		400
		Msp_DuffleBag_Green,							*,		700,		400
		Msp_DuffleBag_Black,							*,		700,		400
		Msp_DuffleBag_Blue,							*,		700,		400
		Msp_DuffleBag_Red,							*,		700,		400
		Msp_WaistPack_Tan,							*,		700,		400
		Msp_WaistPack_Black,							*,		700,		400
		Msp_WaistPack_Green,							*,		700,		400
		Msp_WaistPack_Brown,							*,		700,		400
		Msp_WaistPack_UrbanFlektarn,							*,		700,		400
		Msp_WaistPack_Blue,							*,		700,		400
		Msp_BaseballCap_Beige,							*,		700,		400
		Msp_BaseballCap_Black,							*,		700,		400
		Msp_BaseballCap_Blue,							*,		700,		400
		Msp_BaseballCap_Camo,							*,		700,		400
		Msp_BaseballCap_Olive,							*,		700,		400
		Msp_BaseballCap_Pink,							*,		700,		400
		Msp_BaseballCap_Red,							*,		700,		400
		Msp_BaseballCap_CMMG_Pink,							*,		700,		400
		Msp_BaseballCap_CMMG_Black,							*,		700,		400

	<Category> Loftd Bags
		Loftd_akito_bag,									*,		6500,		2166
		Loftd_akito_bag_black,								*,		6500,		2166
		Loftd_toolbelt,										*,		6500,		2166
		Loftd_reinabag,										*,		6500,		2166
		Loftd_reinabag_grey,								*,		6500,		2166
		Loftd_holder,										*,		6500,		2166
		Loftd_cantermos,									*,		6500,		2166
		Loftd_Town_bag,										*,		6500,		2166
		Loftd_Town_bag_marsh,								*,		6500,		2166
		Loftd_Townbag_pouch,								*,		6500,		2166
		Loftd_Townbag_pouch_marsh,							*,		6500,		2166
		Loftd_slackerbag_orang,								*,		6500,		2166
		Loftd_slackerbag_black,								*,		6500,		2166
		Loftd_slackerbag_br,								*,		6500,		2166
		Loftd_slackerbag_haki,								*,		6500,		2166
		Loftd_slackerbag_salat,								*,		6500,		2166
		Loftd_valeriebag,									*,		6500,		2166
		Loftd_valeriebag_grey,								*,		6500,		2166
		Loftd_valeriebag_black,								*,		6500,		2166
		Loftd_valeriebag_haki,								*,		6500,		2166
		Loftd_elliebag,										*,		6500,		2166
		Loftd_elliebag_green,								*,		6500,		2166
		Loftd_leatherBag,									*,		6500,		2166
		Loftd_sheath_brown,									*,		6500,		2166
		Loftd_womensbag,									*,		6500,		2166
		Loftd_womensbag_pink,								*,		6500,		2166
		Loftd_bugbag,										*,		6500,		2166
		Loftd_bunnybag,										*,		6500,		2166
		Loftd_teddybag,										*,		6500,		2166
		Loftd_travelsbag,									*,		6500,		2166
		Loftd_travelsbag_green,								*,		6500,		2166
		Loftd_travelsbag_black,								*,		6500,		2166
		Loftd_survivorbag,									*,		6500,		2166
		Loftd_hollybag_blue,								*,		6500,		2166
		Loftd_hollybag_pink,								*,		6500,		2166
		Loftd_hollybag_salat,								*,		6500,		2166
		Loftd_hollybag_black,								*,		6500,		2166
		Loftd_hollybag_camo,								*,		6500,		2166
		Loftd_hollybag_camo2,								*,		6500,		2166
		Loftd_hollybag_pixel,								*,		6500,		2166
		Loftd_hollybag_winter,								*,		6500,		2166
		Loftd_hollybag_winterpixel,							*,		6500,		2166
		Loftd_shadowbag,									*,		6500,		2166

	<Category> Loftd Jewlery
		Loftd_oldring,										*,		1100,		455
		Loftd_vikingring,									*,		1100,		455
		Loftd_skullring,									*,		1100,		455
		Loftd_goldring,										*,		1100,		455
		Loftd_ddring,										*,		1100,		455
		Loftd_naturalstones,								*,		1100,		455
		Loftd_FairyEarrings,								*,		1100,		455
		Loftd_crescent,										*,		1100,		455
		Loftd_twocrown,										*,		2100,		655
	
	<Category> Loftd Head Gear
		Loftd_Michonneheadband,								*,		5000,		1666
		Loftd_Sheriffhat,									*,		5000,		1666
		Loftd_BeanieHatD,									*,		5000,		1666
		Loftd_BeanieHatF,									*,		5000,		1666
		Loftd_BeanieHatN,									*,		5000,		1666
		Loftd_detectivehat,									*,		5000,		1666
		Loftd_fedorahat,									*,		5000,		1666
		Loftd_gangsterhat,									*,		5000,		1666
		Loftd_gangsterhatBL,								*,		5000,		1666
		Loftd_Voltovka,										*,		5000,		1666
		Loftd_winterhat,									*,		5000,		1666
		Loftd_brimhat,										*,		5000,		1666
		Loftd_cowboyhat,									*,		5000,		1666
		Loftd_cowboyLEhat,									*,		5000,		1666
		Loftd_fedorahatgorra,								*,		5000,		1666
		Loftd_peakyblinderscap,								*,		5000,		1666
		Loftd_cappellohat,									*,		5000,		1666
		Loftd_Kufia,										*,		5000,		1666
		Loftd_Kufiagr,										*,		5000,		1666
		Loftd_Kufiabl,										*,		5000,		1666
		Loftd_rotanghat,									*,		5000,		1666
		Loftd_headband_DF,									*,		5000,		1666
		Loftd_headband_Dog,									*,		5000,		1666
		Loftd_headband_Pub,									*,		5000,		1666
		Loftd_headband_WS,									*,		5000,		1666
		Loftd_coloradohat,									*,		5000,		1666
		Loftd_ushanka,										*,		5000,		1666
		Loftd_ushanka_white,								*,		5000,		1666
		Loftd_plaguemask,									*,		5000,		1666
		Loftd_wdcap,										*,		5000,		1666
		Loftd_wdmask_gr,									*,		5000,		1666
		Loftd_wdmask_black,									*,		5000,		1666
		Loftd_BeanieHatC,									*,		5000,		1666
		Loftd_BeanieHatC2,									*,		5000,		1666
		Loftd_BeanieHatC3,									*,		5000,		1666
		Loftd_BeanieHatC4,									*,		5000,		1666

	<Category> Loftd Jackets
		Loftd_WILD_jacket,						*,		6000,		2000
		Loftd_Sheriffshirt,						*,		6000,		2000
		Loftd_Michonneshirt,					*,		6000,		2000
		Loftd_ortholife,						*,		6000,		2000
		Loftd_ortholife_green,					*,		6000,		2000
		Loftd_acronym,							*,		6000,		2000
		Loftd_acronym_gr,						*,		6000,		2000
		Loftd_acronym_grL,						*,		6000,		2000
		Loftd_acronym_black,					*,		6000,		2000
		Loftd_albert,							*,		6000,		2000
		Loftd_armyjacket,						*,		6000,		2000
		Loftd_bajka,							*,		6000,		2000
		Loftd_bikerjacket,						*,		6000,		2000
		Loftd_bomberjacket,						*,		6000,		2000
		Loftd_Brian,							*,		6000,		2000
		Loftd_Brianpug,							*,		6000,		2000
		Loftd_bridgejacket,						*,		6000,		2000
		Loftd_brundonjacket,					*,		6000,		2000
		Loftd_cybershirt,						*,		6000,		2000
		Loftd_alexjacket,						*,		6000,		2000
		Loftd_cloak_grey,						*,		6000,		2000
		Loftd_cloak_black,						*,		6000,		2000
		Loftd_cloak_green,						*,		6000,		2000
		Loftd_cloak_winter,						*,		6000,		2000
		Loftd_cloak_camo,						*,		6000,		2000
		Loftd_blacksuitshirt,					*,		6000,		2000
		Loftd_hoodedjacket,						*,		6000,		2000
		Loftd_hoodedjacket_gr,					*,		6000,		2000
		Loftd_hoodedjacket_sr,					*,		6000,		2000
		Loftd_hoodedjacket_baseball,			*,		6000,		2000
		Loftd_hoodedjacket_bear,				*,		6000,		2000
		Loftd_hoodedjacket_camo,				*,		6000,		2000
		Loftd_hoodedjacket_fish,				*,		6000,		2000
		Loftd_hoodedjacket_valhalla,			*,		6000,		2000
		Loftd_hoodedjacket_nasa,				*,		6000,		2000
		Loftd_jacketfranc,						*,		6000,		2000
		Loftd_jackethen,						*,		6000,		2000
		Loftd_jacketlong,						*,		6000,		2000
		Loftd_leatherjacket,					*,		6000,		2000
		Loftd_leatherjacketW,					*,		6000,		2000
		Loftd_roadiessuit_jacket,				*,		6000,		2000
		Loftd_shirtJ,							*,		6000,		2000
		Loftd_suedejacket,						*,		6000,		2000
		Loftd_waistcoat,						*,		6000,		2000
		Loftd_wolverine,						*,		6000,		2000
		Loftd_wooljacket,						*,		6000,		2000
		Loftd_wornjacket,						*,		6000,		2000
		Loftd_coloradojacket,					*,		6000,		2000
		Loftd_windjacket,						*,		6000,		2000
		Loftd_windjacket_brown,					*,		6000,		2000
		Loftd_northjacket,						*,		6000,		2000
		Loftd_gaptopsuit_jacket,				*,		6000,		2000
		Loftd_shirt,							*,		6000,		2000
		Loftd_bomberjacket_green,				*,		6000,		2000
		Loftd_coloradojacket_blackblu,			*,		6000,		2000
		Loftd_coloradojacket_grblack,			*,		6000,		2000
		Loftd_coloradojacket_grblu,				*,		6000,		2000
		Loftd_coloradojacket_dark,				*,		6000,		2000
		Loftd_coloradojacket_G63,				*,		6000,		2000
		Loftd_coloradojacket_camogr,			*,		6000,		2000
		Loftd_coloradojacket_camogr2,			*,		6000,		2000
		Loftd_tubitejka_black,					*,		6000,		2000
		Loftd_Ririteojacket,					*,		6000,		2000
		Loftd_aidansuit_jacket_blue,			*,		6000,		2000
		Loftd_aidansuit_jacket_crew,			*,		6000,		2000
		Loftd_aidansuit_jacket_reinfeld,		*,		6000,		2000
		Loftd_aidansuit_jacket_star,			*,		6000,		2000
		Loftd_aidansuit_jacket_star_grey,		*,		6000,		2000
		Loftd_Reinajacket_teh,					*,		6000,		2000
		Loftd_Reinajacket_skull,				*,		6000,		2000
		Loftd_Reinajacket,						*,		6000,		2000
		Loftd_gaptopsuit_jacket_crooks,			*,		6000,		2000
		Loftd_gaptopsuit_jacket_duck,			*,		6000,		2000
		Loftd_gaptopsuit_jacket_skull,			*,		6000,		2000
		Loftd_gaptopsuit_jacket_snake,			*,		6000,		2000
		Loftd_gaptopsuit_jacket_capitals,		*,		6000,		2000
		Loftd_gaptopsuit_jacket_tampabay,		*,		6000,		2000
		Loftd_hoodie,							*,		6000,		2000
		Loftd_hoodie_green,						*,		6000,		2000
		Loftd_wdcoat,							*,		6000,		2000
		Loftd_canadajacket,						*,		6000,		2000
		Loftd_canadajacket_green,				*,		6000,		2000
		Loftd_canadajacket_blo,					*,		6000,		2000
		Loftd_Stylishjacket,					*,		6000,		2000
		Loftd_plumpjacket,						*,		6000,		2000
		Loftd_plumpjacket2,						*,		6000,		2000
		Loftd_plumpjacket3,						*,		6000,		2000
		Loftd_plumpjacket4,						*,		6000,		2000
		Loftd_pufferjacket,						*,		6000,		2000
		Loftd_pufferjacket2,					*,		6000,		2000
		Loftd_pufferjacket3,					*,		6000,		2000
		Loftd_pufferjacket4,					*,		6000,		2000
		Loftd_shirtJno,							*,		6000,		2000
		Loftd_shirtJdark,						*,		6000,		2000
		
	<Category> Loftd Gloves
		Loftd_leathergloves,					*,		1500,		350

	<Category> Loftd Vests
		Loftd_huntervest,						*,		4000,		1200
		Loftd_huntervest_green,					*,		4000,		1200
		Loftd_huntervest_grey,					*,		4000,		1200
		Loftd_Puffervest_green,					*,		4000,		1200
		Loftd_Puffervest_black,					*,		4000,		1200
		Loftd_Puffervest_winter,				*,		4000,		1200

	<Category> Loftd Belts
		Loftd_Sheriffbelt,						*,		1500,		350
		Loftd_weaponbelt_green,					*,		6000,		2000
		Loftd_weaponbelt_dark,					*,		6000,		2000
		Loftd_weaponbelt_leatherblack,			*,		6000,		2000
		Loftd_weaponbelt_leatherbrown,			*,		6000,		2000
		Loftd_weaponbelt_leatheruzor,			*,		6000,		2000
		Loftd_carabinbelt,						*,		5200,		1650
		Loftd_carabin,							*,		5200,		1650
		Loftd_Michonnebelt,						*,		5200,		1650
		Loftd_weaponbelt,						*,		5200,		1650
		Loftd_meleebelt,						*,		5200,		1650
		
	<Category> Loftd Pants
		Loftd_Sheriffpants,						*,		5200,		1650
		Loftd_WILD_pants,						*,		5200,		1650
		Loftd_blacksuitpants,					*,		5200,		1650
		Loftd_arcpants,							*,		5200,		1650
		Loftd_cyberpants,						*,		5200,		1650
		Loftd_Michonnepants,					*,		5200,		1650
		Loftd_urbanpants_black,					*,		5200,		1650
		Loftd_urbanpants_blu,					*,		5200,		1650
		Loftd_urbanpants_cherry,				*,		5200,		1650
		Loftd_urbanpants_green,					*,		5200,		1650
		Loftd_urbanpants_red,					*,		5200,		1650
		Loftd_MiniDress,						*,		5200,		1650
		Loftd_MiniDress_sakura,					*,		5200,		1650
		Loftd_jeans,							*,		5200,		1650
		Loftd_roadiessuit_pants,				*,		5200,		1650
		Loftd_coloradopants_grey,				*,		5200,		1650
		Loftd_coloradopants_bl,					*,		5200,		1650
		Loftd_coloradopants_camogr,				*,		5200,		1650
		Loftd_coloradopants_camowg,				*,		5200,		1650
		Loftd_coloradopants_G63,				*,		5200,		1650
		Loftd_tifan,							*,		5200,		1650
		Loftd_tifan_black,						*,		5200,		1650
		Loftd_bakedpants,						*,		5200,		1650
