original_class,placements,builderitems_source,base_class,model,disposition,output_name
bldr_plnt_t_FraxinusExcelsior_2s,55,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fraxinusexcelsior_2s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fraxinusexcelsior_2s.p3d
bldr_plnt_t_FraxinusExcelsior_2w,7,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fraxinusexcelsior_2w.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fraxinusexcelsior_2w.p3d
bldr_plnt_t_FraxinusExcelsior_3s,110,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fraxinusexcelsior_3s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fraxinusexcelsior_3s.p3d
bldr_plnt_t_PiceaAbies_1f,8,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_piceaabies_1f.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_piceaabies_1f.p3d
bldr_plnt_t_PiceaAbies_1s,1,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_piceaabies_1s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_piceaabies_1s.p3d
bldr_plnt_t_PiceaAbies_1sb,1,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_piceaabies_1sb.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_piceaabies_1sb.p3d
bldr_plnt_t_PiceaAbies_2f,13,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_piceaabies_2f.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_piceaabies_2f.p3d
bldr_plnt_t_PiceaAbies_2fb,1,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_piceaabies_2fb.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_piceaabies_2fb.p3d
bldr_plnt_t_PiceaAbies_2s,49,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_piceaabies_2s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_piceaabies_2s.p3d
bldr_plnt_t_PiceaAbies_2sb,6,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_piceaabies_2sb.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_piceaabies_2sb.p3d
bldr_plnt_t_PiceaAbies_3f,3,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_piceaabies_3f.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_piceaabies_3f.p3d
bldr_plnt_t_PiceaAbies_3f_Trail_G,8,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_piceaabies_3f_trail_g.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_piceaabies_3f_trail_g.p3d
bldr_plnt_t_PiceaAbies_3f_Trail_Y,1,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_piceaabies_3f_trail_y.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_piceaabies_3f_trail_y.p3d
bldr_plnt_t_PiceaAbies_3s,3,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_piceaabies_3s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_piceaabies_3s.p3d
bldr_plnt_t_carpinus_2s,10,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_carpinus_2s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_carpinus_2s.p3d
bldr_plnt_t_juglansRegia_2s,81,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_juglansregia_2s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_juglansregia_2s.p3d
bldr_plnt_t_juglansRegia_3s,62,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_juglansregia_3s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_juglansregia_3s.p3d
bldr_plnt_t_malusDomestica_2s,9,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_malusdomestica_2s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_malusdomestica_2s.p3d
bldr_plnt_t_malusDomestica_3s,25,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_malusdomestica_3s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_malusdomestica_3s.p3d
bldr_plnt_t_naked_1s,2,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_naked_1s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_naked_1s.p3d
bldr_plnt_t_naked_2s,1,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_naked_2s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_naked_2s.p3d
bldr_plnt_t_populusAlba_1f,8,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_populusalba_1f.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_populusalba_1f.p3d
bldr_plnt_t_populusAlba_2s,38,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_populusalba_2s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_populusalba_2s.p3d
bldr_plnt_t_populusAlba_3s,93,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_populusalba_3s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_populusalba_3s.p3d
bldr_plnt_t_populusNigra_3s,3,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_populusnigra_3s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_populusnigra_3s.p3d
bldr_plnt_t_prunusDomestica_2s,18,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_prunusdomestica_2s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_prunusdomestica_2s.p3d
bldr_plnt_t_pyrusCommunis_2s,14,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_pyruscommunis_2s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_pyruscommunis_2s.p3d
bldr_plnt_t_pyrusCommunis_3s,31,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_pyruscommunis_3s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_pyruscommunis_3s.p3d
bldr_plnt_t_pyrusCommunis_3sb,13,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_pyruscommunis_3sb.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_pyruscommunis_3sb.p3d
bldr_plnt_t_quercusRobur_1s,3,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_quercusrobur_1s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_quercusrobur_1s.p3d
bldr_plnt_t_quercusRobur_2fb,3,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_quercusrobur_2fb.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_quercusrobur_2fb.p3d
bldr_plnt_t_quercusRobur_2s,9,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_quercusrobur_2s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_quercusrobur_2s.p3d
bldr_plnt_t_quercusRobur_2sb,5,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_quercusrobur_2sb.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_quercusrobur_2sb.p3d
bldr_plnt_t_quercusRobur_2sc,10,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_quercusrobur_2sc.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_quercusrobur_2sc.p3d
bldr_plnt_t_quercusRobur_3f,4,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_quercusrobur_3f.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_quercusrobur_3f.p3d
bldr_plnt_t_quercusRobur_3fb,7,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_quercusrobur_3fb.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_quercusrobur_3fb.p3d
bldr_plnt_t_quercusRobur_3s,10,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_quercusrobur_3s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_quercusrobur_3s.p3d
bldr_plnt_t_quercusRobur_3sb,44,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_quercusrobur_3sb.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_quercusrobur_3sb.p3d
bldr_plnt_t_robiniaPseudoacacia_1f,10,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_robiniapseudoacacia_1f.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_robiniapseudoacacia_1f.p3d
bldr_plnt_t_robiniaPseudoacacia_2f,34,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_robiniapseudoacacia_2f.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_robiniapseudoacacia_2f.p3d
bldr_plnt_t_robiniaPseudoacacia_2s,98,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_robiniapseudoacacia_2s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_robiniapseudoacacia_2s.p3d
bldr_plnt_t_robiniaPseudoacacia_3f,47,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_robiniapseudoacacia_3f.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_robiniapseudoacacia_3f.p3d
bldr_plnt_t_salixAlba_2sb,12,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_salixalba_2sb.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_salixalba_2sb.p3d
bldr_plnt_t_salixAlba_2sb_swamp,9,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_salixalba_2sb_swamp.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_salixalba_2sb_swamp.p3d
bldr_plnt_t_town_1s,1,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_town_1s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_town_1s.p3d
bldr_power_pole_wood1_trail_y,1,industrial/config.cpp,HouseNoDestruct,\DZ\structures\industrial\power\power_pole_wood1_trail_y.p3d,native static class; exact model match,StaticObj_Power_Pole_Wood1_Trail_Y
bldr_rail_polett1,2,rail/config.cpp,HouseNoDestruct,\DZ\structures\rail\misc\rail_polett1.p3d,native static class; exact model match,StaticObj_Rail_PoleTT1
bldr_roadblock_bags_curve,7,Military/improvised/config.cpp,HouseNoDestruct,\DZ\structures\military\improvised\roadblock_bags_curve.p3d,native static class; exact model match,StaticObj_Roadblock_Bags_Curve
bldr_roadblock_bags_endl,1,Military/improvised/config.cpp,HouseNoDestruct,\DZ\structures\military\improvised\roadblock_bags_endl.p3d,native static class; exact model match,StaticObj_Roadblock_Bags_EndL
bldr_roadblock_bags_endr,1,Military/improvised/config.cpp,HouseNoDestruct,\DZ\structures\military\improvised\roadblock_bags_endr.p3d,native static class; exact model match,StaticObj_Roadblock_Bags_EndR
bldr_roadblock_bags_long,2,Military/improvised/config.cpp,HouseNoDestruct,\DZ\structures\military\improvised\roadblock_bags_long.p3d,native static class; exact model match,StaticObj_Roadblock_Bags_Long
bldr_roadblock_cncblock,5,Military/improvised/config.cpp,HouseNoDestruct,\DZ\structures\military\improvised\roadblock_cncblock.p3d,native static class; exact model match,StaticObj_Roadblock_CncBlock
bldr_roadblock_cncblocks_long,11,Military/improvised/config.cpp,HouseNoDestruct,\DZ\structures\military\improvised\roadblock_cncblocks_long.p3d,native static class; exact model match,StaticObj_Roadblock_CncBlocks_Long
bldr_roadblock_cncblocks_short,4,Military/improvised/config.cpp,HouseNoDestruct,\DZ\structures\military\improvised\roadblock_cncblocks_short.p3d,native static class; exact model match,StaticObj_Roadblock_CncBlocks_short
bldr_roadblock_pillbox,5,Military/improvised/config.cpp,HouseNoDestruct,\DZ\structures\military\improvised\roadblock_pillbox.p3d,native static class; exact model match,StaticObj_Roadblock_Pillbox
bldr_student_chair,1,furniture/config.cpp,HouseNoDestruct,\DZ\structures\furniture\school_equipment\student_chair.p3d,native static class; exact model match,StaticObj_Furniture_student_chair
bldr_tent_boxwooden,4,Military/improvised/config.cpp,HouseNoDestruct,\DZ\structures\military\improvised\proxy\tent_boxwooden.p3d,retained; no exact behavior-preserving native standalone class,bldr_tent_boxwooden
bldr_tent_chair,4,Military/improvised/config.cpp,HouseNoDestruct,\DZ\structures\military\improvised\proxy\tent_chair.p3d,retained; no exact behavior-preserving native standalone class,bldr_tent_chair
bldr_tent_gunrack,2,Military/improvised/config.cpp,HouseNoDestruct,\DZ\structures\military\improvised\proxy\tent_gunrack.p3d,retained; no exact behavior-preserving native standalone class,bldr_tent_gunrack
bldr_wall_forfieldfen_end,3,walls/config.cpp,HouseNoDestruct,\DZ\structures\walls\wall_forfieldfen_end.p3d,native static class; exact model match,StaticObj_Wall_ForFieldFen_end
bldr_wall_garbcont,5,walls/config.cpp,HouseNoDestruct,\DZ\structures\walls\wall_garbcont.p3d,native static class; exact model match,StaticObj_Wall_GarbCont
bldr_wall_gate_kolchoz,1,walls/config.cpp,HouseNoDestruct,\DZ\structures\walls\wall_gate_kolchoz.p3d,retained; no exact behavior-preserving native standalone class,bldr_wall_gate_kolchoz
bldr_wall_indfnc_3,1,walls/config.cpp,HouseNoDestruct,\DZ\structures\walls\wall_indfnc_3.p3d,native static class; exact model match,StaticObj_Wall_IndFnc_3
bldr_wall_indfnc_9,2,walls/config.cpp,HouseNoDestruct,\DZ\structures\walls\wall_indfnc_9.p3d,native static class; exact model match,StaticObj_Wall_IndFnc_9
bldr_wall_indfnc_pole,2,walls/config.cpp,HouseNoDestruct,\DZ\structures\walls\wall_indfnc_pole.p3d,native static class; exact model match,StaticObj_Wall_IndFnc_Pole
bldr_wreck_bmp2,3,wrecks/config.cpp,HouseNoDestruct,\DZ\structures\wrecks\vehicles\wreck_bmp2.p3d,native static class; exact model match,StaticObj_Wreck_BMP2
bldr_wreck_brdm,3,wrecks/config.cpp,HouseNoDestruct,\DZ\structures\wrecks\vehicles\wreck_brdm.p3d,native static class; exact model match,StaticObj_Wreck_BRDM
bldr_wreck_bulldozer,3,wrecks/config.cpp,HouseNoDestruct,\DZ\structures\wrecks\vehicles\wreck_bulldozer.p3d,native static class; exact model match,StaticObj_Wreck_Bulldozer
bldr_wreck_decal_small1,1,wrecks/config.cpp,HouseNoDestruct,\DZ\structures\wrecks\vehicles\wreck_decal_small1.p3d,native static class; exact model match,StaticObj_Wreck_Decal_Small1
bldr_wreck_digger,1,wrecks/config.cpp,HouseNoDestruct,\DZ\structures\wrecks\vehicles\wreck_digger.p3d,native static class; exact model match,StaticObj_Wreck_Digger
bldr_wreck_harverster,1,wrecks/config.cpp,HouseNoDestruct,\DZ\structures\wrecks\vehicles\wreck_harverster.p3d,native static class; exact model match,Land_Wreck_Harverster
bldr_wreck_hmmwv,17,wrecks/config.cpp,HouseNoDestruct,\DZ\structures\wrecks\vehicles\wreck_hmmwv.p3d,native static class; exact model match,StaticObj_Wreck_HMMWV
bldr_wreck_t72_chassis,1,wrecks/config.cpp,HouseNoDestruct,\DZ\structures\wrecks\vehicles\wreck_t72_chassis.p3d,native static class; exact model match,StaticObj_Wreck_T72_Chassis
bldr_wreck_t72_turret,1,wrecks/config.cpp,HouseNoDestruct,\DZ\structures\wrecks\vehicles\wreck_t72_turret.p3d,native static class; exact model match,StaticObj_Wreck_T72_Turret
bldr_wreck_trailer_cistern,1,wrecks/config.cpp,HouseNoDestruct,\DZ\structures\wrecks\vehicles\wreck_trailer_cistern.p3d,native static class; exact model match,StaticObj_Wreck_Trailer_Cistern
bldr_wreck_trailer_flat,1,wrecks/config.cpp,HouseNoDestruct,\DZ\structures\wrecks\vehicles\wreck_trailer_flat.p3d,native static class; exact model match,StaticObj_Wreck_Trailer_Flat
bldr_wreck_ural,9,wrecks/config.cpp,HouseNoDestruct,\DZ\structures\wrecks\vehicles\wreck_ural.p3d,native static class; exact model match,StaticObj_Wreck_Ural
